Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
1,Alavés,La Liga,29,26.6,45.3,38,418,"3,420",38,38,20,58,29,9,11,107,5,42.8,34.1,25.4,59.5,449,1160
2,Angers,Ligue 1,30,27.5,41.2,34,374,"3,060",34,31,17,48,26,5,6,49,2,36,31.3,23.5,54.7,502,953
3,Arsenal,Premier League,25,25.8,56.9,38,418,"3,420",38,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826
4,Aston Villa,Premier League,28,27,50.5,38,418,"3,420",38,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93,720,1344
5,Atalanta,Serie A,32,27.1,55.3,38,418,"3,420",38,76,54,130,71,5,7,67,1,65,59.5,46.9,106.4,897,1824
6,Athletic Club,La Liga,31,26.9,48.4,38,418,"3,420",38,53,40,93,50,3,6,64,3,53,48.2,36.7,84.9,682,1579
7,Atlético Madrid,La Liga,24,28.4,52.6,38,418,"3,420",38,68,51,119,62,6,7,75,3,64.6,59.3,47.9,107.2,760,1559
8,Augsburg,Bundesliga,29,26.8,44.3,34,374,"3,060",34,35,26,61,34,1,2,78,5,34.7,33.1,25.1,58.2,450,1162
9,Auxerre,Ligue 1,29,25.9,42.5,34,374,"3,060",34,47,35,82,43,4,5,68,4,41,37.3,32,69.3,484,1084
10,Barcelona,La Liga,28,24.7,68.3,38,418,"3,420",38,99,72,171,92,7,8,63,3,91.5,85.2,67.5,152.7,860,2212
11,Bayern Munich,Bundesliga,29,27.7,67.9,34,374,"3,060",34,96,66,162,87,9,10,48,1,81.7,74,59.7,133.7,831,2138
12,Betis,La Liga,36,27.5,52.4,38,418,"3,420",38,55,37,92,48,7,10,75,4,54.7,46.9,37.5,84.5,679,1486
13,Bochum,Bundesliga,27,28,45.5,34,374,"3,060",34,32,23,55,31,1,3,71,2,41.8,39.3,30,69.4,378,1090
14,Bologna,Serie A,30,26.4,58.1,38,418,"3,420",38,56,43,99,50,6,7,61,4,49.3,43.8,35.2,79,639,1468
15,Bournemouth,Premier League,29,25.1,48.5,38,418,"3,420",38,57,41,98,51,6,7,97,3,64,58.5,43.8,102.3,754,1489
16,Brentford,Premier League,28,25.8,47.9,38,418,"3,420",38,65,44,109,60,5,6,62,1,59,54.4,42.4,96.8,598,1356
17,Brest,Ligue 1,30,28.2,48.4,34,374,"3,060",34,52,32,84,45,7,9,69,3,45.4,38.3,29.4,67.8,470,1096
18,Brighton,Premier League,32,24.8,52.3,38,418,"3,420",38,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539
19,Cagliari,Serie A,28,26.6,44.9,38,418,"3,420",38,38,31,69,35,3,3,68,3,42.7,40.3,32,72.4,506,1150
20,Celta Vigo,La Liga,30,26.9,53.6,38,418,"3,420",38,58,40,98,50,8,9,84,6,54.2,47.3,38.4,85.7,709,1659
21,Chelsea,Premier League,29,23.7,57.1,38,418,"3,420",38,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595
22,Como,Serie A,38,26.3,54.6,38,418,"3,420",38,44,39,83,44,0,2,87,7,45.4,43.9,36.6,80.5,658,1377
23,Crystal Palace,Premier League,29,26.2,42.8,38,418,"3,420",38,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,507,1159
24,Dortmund,Bundesliga,28,26.6,58.9,34,374,"3,060",34,69,56,125,64,5,6,71,6,61.2,56.5,47.4,103.9,701,1563
25,Eint Frankfurt,Bundesliga,26,24.9,49.7,34,374,"3,060",34,68,47,115,65,3,5,55,1,65.1,61.4,45.2,106.6,585,1347
26,Empoli,Serie A,34,25.4,41.7,38,418,"3,420",38,31,21,52,29,2,3,68,5,32.5,30.1,22.9,53.1,428,1013
27,Espanyol,La Liga,27,25.2,39.8,38,418,"3,420",38,38,27,65,33,5,5,88,1,34.4,30.5,24.5,55,497,1000
28,Everton,Premier League,26,28,40.9,38,418,"3,420",38,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041
29,Fiorentina,Serie A,34,26.3,50.4,38,418,"3,420",38,58,39,97,52,6,8,82,3,48.9,42.6,35.1,77.7,620,1240
30,Freiburg,Bundesliga,26,27.1,48.7,34,374,"3,060",34,46,35,81,46,0,4,54,2,44.3,41.1,30.5,71.7,442,1129
31,Fulham,Premier League,26,28.1,52.3,38,418,"3,420",38,53,44,97,50,3,4,80,2,49,45.9,37.5,83.4,786,1558
32,Genoa,Serie A,37,26.2,45.6,38,418,"3,420",38,35,27,62,35,0,2,71,1,37.2,35.5,26.8,62.3,470,980
33,Getafe,La Liga,30,27.7,41.8,38,418,"3,420",38,34,21,55,29,5,5,110,7,36.8,33,23.9,56.9,368,981
34,Girona,La Liga,30,27.5,56.3,38,418,"3,420",38,43,31,74,39,4,5,76,2,42.5,38.6,31.6,70.2,765,1691
35,Gladbach,Bundesliga,26,26.5,49.6,34,374,"3,060",34,53,39,92,49,4,5,53,3,50.6,46.6,37.7,84.3,530,1112
36,Heidenheim,Bundesliga,27,26.8,43.5,34,374,"3,060",34,37,26,63,32,5,5,66,1,40.3,36.3,28.6,64.9,516,974
37,Hellas Verona,Serie A,32,25.1,38.7,38,418,"3,420",38,31,20,51,29,2,2,98,9,33.8,32.3,24.8,57.1,449,1011
38,Hoffenheim,Bundesliga,35,26.5,48.7,34,374,"3,060",34,46,30,76,43,3,3,66,2,42.6,40.3,32.7,73,481,1218
39,Holstein Kiel,Bundesliga,27,25.6,43.6,34,374,"3,060",34,49,29,78,45,4,5,77,4,39.8,35.9,26.7,62.6,359,875
40,Inter,Serie A,26,29.4,59.7,38,418,"3,420",38,76,57,133,68,8,9,56,1,66.9,60.1,48.3,108.5,694,1730
41,Ipswich Town,Premier League,32,25.8,40.6,38,418,"3,420",38,35,26,61,33,2,2,93,5,34.4,32.8,24.2,57,513,935
42,Juventus,Serie A,29,24.6,57.2,38,418,"3,420",38,56,40,96,50,6,6,67,3,51.1,46.4,36,82.4,810,1561
43,Las Palmas,La Liga,34,26.8,50.7,38,418,"3,420",38,38,27,65,35,3,4,110,4,36.3,33.2,26.3,59.4,499,1210
44,Lazio,Serie A,27,27.1,55.1,38,418,"3,420",38,60,43,103,54,6,7,93,7,57.2,52,38.5,90.4,774,1588
45,Le Havre,Ligue 1,31,26.9,43.1,34,374,"3,060",34,37,21,58,28,9,10,56,4,41.4,33.4,24.4,57.8,538,1051
46,Lecce,Serie A,31,26.1,43.8,38,418,"3,420",38,27,21,48,24,3,4,61,7,34.6,31.8,24.5,56.3,519,1071
47,Leganés,La Liga,26,27.8,42.6,38,418,"3,420",38,38,27,65,33,5,7,82,6,36,30.6,23.3,53.8,417,1030
48,Leicester City,Premier League,32,26.6,45.4,38,418,"3,420",38,33,25,58,31,2,3,87,0,32.6,30.4,25.1,55.5,576,1082
49,Lens,Ligue 1,33,27.1,54.1,34,374,"3,060",34,40,26,66,35,5,5,86,8,51.8,48.3,36.2,84.4,570,1451
50,Leverkusen,Bundesliga,23,27,59.2,34,374,"3,060",34,70,53,123,67,3,6,62,1,56.9,52,41.9,93.9,696,1692
51,Lille,Ligue 1,27,26.1,57.6,34,374,"3,060",34,52,29,81,45,7,10,77,2,54.7,47.5,35.1,82.6,669,1616
52,Liverpool,Premier League,24,27.2,57.7,38,418,"3,420",38,85,65,150,76,9,9,67,3,82.2,75.2,61.6,136.8,825,1924
53,Lyon,Ligue 1,31,27.4,56.4,34,374,"3,060",34,62,46,108,54,8,10,60,0,60.3,52.5,44.4,96.9,709,1615
54,Mainz 05,Bundesliga,25,27.4,50.4,34,374,"3,060",34,53,37,90,49,4,4,71,5,50.1,47,37.5,84.6,466,1286
